title,description,url,published_date,source,country,language
French President Macron says France will recognize Palestine as a state,The mostly symbolic move puts added diplomatic pressure on Israel as the war and humanitarian crisis in the Gaza Strip rage. France is now the biggest Western power to recognize Palestine.,https://www.npr.org/2025/07/25/nx-s1-5479681/france-palestine-statehood-macron-israel,2025-07-25T01:48:25,NPR,USA,en
Ranchers in Mexico are struggling against a flesh-eating parasite infecting livestock,"In the southern state of Chiapas, which borders Guatemala, the New World screwworm flys rapid spread appears to have caught most ranchers off guard, despite memories of previous outbreaks in the 1980s and 1990s.",https://www.npr.org/2025/07/25/nx-s1-5479674/ranchers-mexico-flesh-eating-parasite-livestock,2025-07-25T01:28:48,NPR,USA,en
U.S. cuts short Gaza ceasefire talks and accuses Hamas of lacking good faith,A breakthrough on a ceasefire deal between Israel and Hamas following 21 months of war has eluded the Trump administration as humanitarian conditions worsen in Gaza.,https://www.npr.org/2025/07/25/nx-s1-5479673/gaza-ceasefire-talks-cut-short-us-israel-hamas,2025-07-25T01:01:30,NPR,USA,en
President Trump takes aim at college sports with a new executive order,"The order aims to ban pay-for-play NIL deals, mandates scholarships for womens and Olympic sports and threatens to withhold funds from schools who dont comply. But its legality is in question.",https://www.npr.org/2025/07/25/nx-s1-5479194/college-sports-executive-order-trump-eo,2025-07-25T00:01:00,NPR,USA,en
"European countries are set for Iran talks, but expectations for a breakthrough are low","Germany, France and the United Kingdom will hold talks with Iran in Istanbul Friday, just days after the three European nations warned they would reimpose stiff sanctions on Tehran.",https://www.npr.org/2025/07/24/nx-s1-5479173/europe-iran-talks-istanbul,2025-07-24T18:50:35,NPR,USA,en
Trump administration approves sale of CBS parent company Paramount,The Federal Communications Commission approved the sale of Paramount Global after the buyer made pledges to showcase a diversity of viewpoints and root out alleged bias in CBS news coverage.,https://www.npr.org/2025/07/24/nx-s1-5477530/paramount-cbs-skydance-sale-fcc-approves,2025-07-24T18:36:21,NPR,USA,en
Supreme Court blocks rule that blocks Voting Rights Act for now,"The order guarantees voters, at least for now, the ability to sue to enforce rights guaranteed under the landmark 1965 law.",https://www.npr.org/2025/07/24/g-s1-79289/supreme-court-blocks-rule-that-blocks-voting-rights-act-for-now,2025-07-24T17:49:01,NPR,USA,en
"Six months in, how Trump has changed the Education Department.","Federal education policy has seen a lot of changes since President Trumps inauguration. For example, the Department of Education itself, which Trump has vowed to close.But that hasnt stopped the Trump administration from also wielding the Departments power. Most recently, by withholding billions of dollars for K-12 schools.The Trump administration has drastically changed the federal governments role in education. What does that mean for American classrooms? For sponsor-free episodes of Consider This, sign up for Consider This via Apple Podcasts or at plus.npr.org.Email us at considerthisnpr.org.",https://www.npr.org/2025/07/24/1256157836/six-months-in-how-trump-has-changed-the-education-department,2025-07-24T17:41:36,NPR,USA,en
Trump visits Federal Reserve and tussles with Jerome Powell in extraordinary moment,President Trump visited the Federal Reserve to inspect an ongoing renovation and disagreed with the Fed chair about the projects final cost in an extraordinary moment.,https://www.npr.org/2025/07/24/nx-s1-5478922/trump-federal-reserve-renovation-jerome-powell,2025-07-24T17:07:41,NPR,USA,en
Trump signs an executive order to make it easier to remove homeless people from streets,"The White House directive calls for prioritizing money for programs that require sobriety and treatment, and for cities that enforce homeless camping bans.",https://www.npr.org/2025/07/24/nx-s1-5479139/trump-homelessness-executive-order-civil-commitment-camping,2025-07-24T16:49:17,NPR,USA,en
