title,description,url,published_date,source,country,language
News kompakt Macron will Palästina als Staat anerkennen,Frankreichs Präsident Macron will die Anerkennung im September bei den Vereinten Nationen verkünden. Die USA und Israel haben ihre Verhandler von indirekten Gesprächen mit der Hamas abgezogen. Das Wichtigste in Kürze.,https://www.dw.com/de/news-kompakt-macron-will-palästina-als-staat-anerkennen/a-73405162?maca=de-rss-de-all-1119-xml-mrss,2025-07-25T07:01:00,Deutsche Welle,Germany,de
Chance auf ein zweites Geräte-Leben,"Die Ökodesign-Verordnung verpflichtet Elektronikhersteller, Geräte für den Markt der EU langlebiger und reparierfähiger zu machen. Das wird sich auch auf dem Sekundärmarkt der Refurbisher auswirken.",https://www.dw.com/de/chance-auf-ein-zweites-geräte-leben/a-73307538?maca=de-rss-de-all-1119-xml-mrss,2025-07-25T06:55:00,Deutsche Welle,Germany,de
"Florian Lipowitz, die deutsche Entdeckung der Tour de France",Bei der Frankreich-Rundfahrt ist der deutsche Radprofi Florian Lipowitz endgültig ins Rampenlicht gefahren. Der 24-Jährige hat die Chance auf einen Podiumsplatz. Vor sechs Jahren war er noch ein Biathlet.,https://www.dw.com/de/florian-lipowitz-die-deutsche-entdeckung-der-tour-de-france/a-73402456?maca=de-rss-de-all-1119-xml-mrss,2025-07-25T06:43:00,Deutsche Welle,Germany,de
Gaza in Not Daten und Grafiken zur humanitären Krise,"Die Lage im Gazastreifen wird immer katastrophaler Hilfslieferungen erreichen die Region nur sehr eingeschränkt, internationale Organisationen warnen vor einer Hungersnot. Wichtige Zahlen im Überblick.",https://www.dw.com/de/gaza-in-not-daten-und-grafiken-zur-humanitären-krise/a-73383597?maca=de-rss-de-all-1119-xml-mrss,2025-07-25T06:41:00,Deutsche Welle,Germany,de
Israels Krieg in Gaza Verändert sich die deutsche Haltung?,Die deutsche Politik leitet aus dem Holocaust eine besondere Verantwortung für Israel ab. Doch die Lage der Zivilbevölkerung im Gazastreifen löst neuen Streit in Deutschland aus.,https://www.dw.com/de/israels-krieg-in-gaza-verändert-sich-die-deutsche-haltung/a-73393048?maca=de-rss-de-all-1119-xml-mrss,2025-07-25T06:39:00,Deutsche Welle,Germany,de
Wrestling-Legende Hulk Hogan ist tot,Mit Hulk Hogan ist einer der Pioniere des Wrestlings gestorben. Der Show-Sportler wurde 71 Jahre alt. Zuletzt warb er für US-Präsident Donald Trump.,https://www.dw.com/de/wrestling-legende-hulk-hogan-ist-tot/a-73403090?maca=de-rss-de-all-1119-xml-mrss,2025-07-24T17:37:00,Deutsche Welle,Germany,de
Rücken-OP - Nationaltorwart ter Stegen fällt lange aus,Marc-André ter Stegen muss um seinen Einsatz bei der WM 2026 bangen. Die deutsche Nummer eins im Tor wird erneut am Rücken operiert.,https://www.dw.com/de/rücken-op-nationaltorwart-ter-stegen-fällt-lange-aus/a-73402674?maca=de-rss-de-all-1119-xml-mrss,2025-07-24T16:47:00,Deutsche Welle,Germany,de
"Hotspots der Welthungerhilfe Gaza, Sudan, Syrien","Krieg, Flucht, Vertreibung - die Welthungerhilfe hat mehr denn je zu tun, während die staatliche Nothilfe gekürzt wird. Und die Aussichten sind düster, weil Gelder für unterentwickelte Länder massiv reduziert werden.",https://www.dw.com/de/hotspots-der-welthungerhilfe-gaza-sudan-syrien/a-73388005?maca=de-rss-de-all-1119-xml-mrss,2025-07-24T16:47:00,Deutsche Welle,Germany,de
Thailand und Kambodscha Eskalierender Grenzkonflikt,"Der Konflikt zwischen den südostasiatischen Ländern verschärft sich drastisch. Beide Seiten berichten von heftigen Gefechten, es soll Tote und Verletzte geben. Im Kern geht es um einen jahrzehntealten Grenzstreit.",https://www.dw.com/de/thailand-und-kambodscha-eskalierender-grenzkonflikt/a-73399025?maca=de-rss-de-all-1119-xml-mrss,2025-07-24T15:43:00,Deutsche Welle,Germany,de
Gefährliche PFAS-Chemikalien in Periodenprodukten,"Sie gelten als ökofreundliche Alternative zu Binden und Tampons Periodenunterwäsche und Menstruationstassen. Jetzt hat ein Forscherteam herausgefunden, dass diese Produkte die Ewigkeitschemikalien PFAS enthalten können.",https://www.dw.com/de/gefährliche-pfas-chemikalien-in-periodenprodukten/a-73387534?maca=de-rss-de-all-1119-xml-mrss,2025-07-24T15:01:00,Deutsche Welle,Germany,de
