title,description,url,published_date,source,country,language
Grüner Stahl Warum Milliarden-Subventionen nicht reichen,Grüner Wasserstoff soll die Stahlindustrie nachhaltiger machen. Doch trotz Milliardensubventionen hat ArcelorMittal den Umbau zu Herstellung von grünem Stahl gestoppt. Einzelfall oder Warnsignal für die Branche?,https://www.dw.com/de/grüner-stahl-warum-milliarden-subventionen-nicht-reichen/a-73217137?maca=de-rss-de-all-1119-xml-mrss,2025-07-17T07:02:00,Deutsche Welle,Germany,de
News kompakt Deutschland gegen deutlich höheren EU-Etat,"Der Mehrjährige Finanzrahmen der EU soll auf zwei Billionen Euro erhöht werden. Berlin sagt, das sei nicht vermittelbar. Deutschland und Großbritannien schließen einen Freundschaftsvertrag. Das Wichtigste in Kürze.",https://www.dw.com/de/news-kompakt-deutschland-gegen-deutlich-höheren-eu-etat/a-73305730?maca=de-rss-de-all-1119-xml-mrss,2025-07-17T07:00:00,Deutsche Welle,Germany,de
"Verspätungen, Ausfälle, Frust - Deutsche Bahn am Limit","Die Deutsche Bahn steckt tief in der Krise - und ein Ende ist nicht in Sicht. Die Generalsanierung soll bis 2036 dauern. Doch schon jetzt steigen die Kosten, und die Kritik an Planung und Umsetzung wächst.",https://www.dw.com/de/verspätungen-ausfälle-frust-deutsche-bahn-am-limit/a-73296469?maca=de-rss-de-all-1119-xml-mrss,2025-07-17T05:20:00,Deutsche Welle,Germany,de
Berlin setzt Zeichen gegen rassistischen Straßennamen,"Es war ein langer Kampf mit Anwohnern, bis ein Berliner Boulevard mit rassistischem Namen umbenannt werden konnte. Er heißt jetzt Anton-Wilhelm-Amo-Straße - nach dem ersten schwarzen Philosophen in Deutschland.",https://www.dw.com/de/berlin-setzt-zeichen-gegen-rassistischen-straßennamen/a-73287613?maca=de-rss-de-all-1119-xml-mrss,2025-07-17T05:04:00,Deutsche Welle,Germany,de
Holocaust-Überlebende Anita Lasker-Wallfisch wird 100,"Sie hat Auschwitz überlebt und viele Jahre dafür gekämpft, dass der Holocaust nicht vergessen wird. Doch an ihrem 100. Geburtstag ist Anita Lasker-Wallfisch desillusioniert Antisemitismus ist überall auf dem Vormarsch.",https://www.dw.com/de/holocaust-überlebende-anita-lasker-wallfisch-wird-100/a-73262388?maca=de-rss-de-all-1119-xml-mrss,2025-07-16T19:28:00,Deutsche Welle,Germany,de
Was der Internationale Gerichtshof leistet - und was nicht,"Das Völkerrecht droht in einer konfliktreichen Welt ins Hintertreffen zu geraten. Dabei wäre der Internationale Gerichtshof ein Ort, um zwischenstaatliche Konflikte friedlich beizulegen. Ein Porträt der Institution.",https://www.dw.com/de/was-der-internationale-gerichtshof-leistet-und-was-nicht/a-67952805?maca=de-rss-de-all-1119-xml-mrss,2025-07-16T19:28:00,Deutsche Welle,Germany,de
Warum Selenskyj die Regierung in der Ukraine umbildet,"Es ist die größte Kabinettsumbildung seit Kriegsbeginn Regierungschef Schmyhal tritt zurück, das Kabinett wird aufgelöst, künftig soll es viele neue Minister geben. Was bezweckt Präsident Selenskyj mit der Neubesetzung?",https://www.dw.com/de/warum-selenskyj-die-regierung-in-der-ukraine-umbildet/a-73294237?maca=de-rss-de-all-1119-xml-mrss,2025-07-16T18:02:00,Deutsche Welle,Germany,de
"Vitali Klitschko Wir brauchen Sanktionen, nicht 50 Tage","Der Kyjiwer Bürgermeister Vitali Klitschko erklärt im DW-Interview, was er von Donald Trumps jüngster Entscheidung hält, Wladimir Putin weitere 50 Tage Zeit zu geben, um Frieden in der Ukraine zu erreichen.",https://www.dw.com/de/vitali-klitschko-wir-brauchen-sanktionen-nicht-50-tage/a-73301464?maca=de-rss-de-all-1119-xml-mrss,2025-07-16T18:00:00,Deutsche Welle,Germany,de
Ann-Kathrin Berger - für den Opa bis in Finale der EURO 2025,Vor dem EM-Viertelfinale der DFB-Frauen gegen Frankreich fragen sich viele Werden die wacklige deutsche Abwehr und die zu riskantem Spiel neigende Torhüterin Ann-Katrin Berger dem Druck der Französinnen standhalten?,https://www.dw.com/de/ann-kathrin-berger-für-den-opa-bis-in-finale-der-euro-2025/a-73301716?maca=de-rss-de-all-1119-xml-mrss,2025-07-16T14:41:00,Deutsche Welle,Germany,de
Gazastreifen Erneut Tote bei Hilfsgüterverteilung,"Chaos in Chan Junis bei einer Ausgabestelle für humanitäre Hilfe. 20 Menschen sterben. Die umstrittene Verteilorganisation GHF beschuldigt die Hamas, den tödlichen Aufruhr verursacht zu haben.",https://www.dw.com/de/gazastreifen-erneut-tote-bei-hilfsgüterverteilung/a-73294548?maca=de-rss-de-all-1119-xml-mrss,2025-07-16T14:02:00,Deutsche Welle,Germany,de
Vulkan-Ausbruch auf Island - Urlauber in Sicherheit gebracht,Inmitten der Haupt-Touristensaison strömt aus einer Erdspalte auf der beliebten Reykjanes-Halbinsel in Island heiße Lava. Der internationale Flughafen Keflavik liegt in der Nähe.,https://www.dw.com/de/vulkan-ausbruch-auf-island-urlauber-in-sicherheit-gebracht/a-73300452?maca=de-rss-de-all-1119-xml-mrss,2025-07-16T13:25:00,Deutsche Welle,Germany,de
